F编号,特性名称,支持状态,数据采集,弱网自治,模型管理,模型应用,手册引用章节
F01,WebSocket 云边管理面通道,已实现,主要,主要,间接,间接,1.2 / 3.3
F02,节点注册（Register/RegisterAck 10s）,已实现,间接,主要,间接,间接,3.2 / 3.3
F03,心跳保活（30s）,已实现,间接,主要,间接,间接,3.3 / 3.4
F04,指数退避重连（1s→60s 封顶）,已实现,间接,主要,间接,间接,3.2 / 3.3
F05,消息可靠投递（5s×3 幂等去重）,已实现,主要,主要,主要,间接,2.3 / 3.2 / 4.3 / 6.1
F06,多节点并发管理（10 节点实测）,已实现,主要,间接,间接,间接,附录 A5
F07,在线/离线双路径判定（90s/180s）,已实现,间接,主要,间接,间接,3.3 / 3.6
F08,节点状态语义（Ready/Unknown/Offline）,已实现,间接,主要,间接,间接,3.3
F09,云端状态内存态+边缘持久,已实现,间接,主要,间接,间接,3.3 / 3.6
F10,消息路由引擎,已实现,间接,间接,间接,间接,附录 C（仅登记）
F11,Edged 声明式调谐（5s）,已实现,间接,主要,主要,主要,3.2 / 4.3 / 5.3
F12,多副本 Pod 管理,已实现,间接,主要,主要,主要,3.3 / 4.2 / 5.3
F13,健康自愈自动重启,已实现,间接,主要,主要,主要,3.3 / 4.3 / 5.3
F14,CrashLoopBackOff（3 次/30s/60s）,已实现,间接,主要,主要,主要,3.3 / 4.3 / 5.3
F15,镜像漂移检测与重建,已实现,间接,主要,主要,主要,3.3 / 4.3 / 5.3
F16,断网自治（E2E 60s 实测）,已实现,间接,主要,间接,主要,3.3 / 3.6 / 5.3
F17,MetaManager SQLite 持久化,已实现,间接,主要,主要,主要,3.3 / 4.3 / 5.3 / 6.1
F18,PodStatus 周期上报（30s 可配）,已实现,间接,主要,间接,间接,3.3 / 3.4
F19,删除收敛闭环,已实现,间接,主要,间接,间接,附录 C（仅登记）
F20,MetaManager 增量订阅通知,已实现,间接,主要,间接,间接,3.3
F21,DeviceTwin 影子,已实现,主要,间接,间接,主要,2.3 / 5.3
F22,设备属性周期上报,已实现,主要,间接,间接,主要,2.3 / 5.3 / 6.1
F23,device-command 指令闭环,已实现,主要,间接,间接,主要,2.3 / 5.3 / 6.1
F24,Mapper 框架（接口+路由）,已实现,主要,间接,间接,间接,2.2 / 2.3
F25,mock_sensor 模拟器,已实现,主要,间接,间接,间接,2.3 / 2.4
F26,Modbus TCP Mapper,已实现,主要,间接,间接,间接,2.3 / 2.4
F27,op-ledger 操作台账（SQLite 表名 op_ledger）,已实现,主要,间接,间接,间接,2.3 / 2.5 / 6.3
F28,EventBus MQTT 数据面（QoS1）,已实现,主要,间接,间接,主要,2.3 / 5.3
F29,EventBus 降级本地模式,已实现,主要,主要,间接,间接,2.3 / 2.4
F30,设备 API 云端视图,已实现,主要,间接,间接,主要,2.3 / 5.3 / 6.1
F31,REST API 14 端点（podsync/config-sync/ocsp 等）,已实现,间接,间接,主要,主要,4.3 / 5.4
F32,运行指标 5 项,已实现,间接,间接,间接,间接,1.2 / 1.4
F33,Token 认证（默认 off/401）,已实现,间接,间接,间接,间接,附录 A6
F34,mTLS 云边通道（wss）,已实现,间接,间接,间接,间接,附录 A6 / 3.3
F35,审计台账（JSONL/0600/0700）,已实现,间接,间接,间接,间接,6.3
F36,keadm 部署运维（9 子命令）,已实现,间接,间接,主要,间接,4.3
F37,Helm Chart 部署,已实现,间接,间接,主要,间接,4.3
F38,多架构镜像（amd64+arm64）,已实现,间接,间接,主要,间接,4.3
F39,升级回滚机制（备份/演练/审计）,已实现,间接,间接,主要,间接,4.3 / 4.4
F40,性能基线（10 节点 201.3ms）,已实现,间接,间接,间接,间接,附录 A5
F41,模型仓库与版本管理（模型/版本/部署影子台账）,已实现,间接,间接,主要,间接,4.2 / 4.3 / 附录 C
F42,模型灰度发布（白名单/按比例、分批、fail-fast、取消、回滚；keadm 升级分批为产品升级灰度）,已实现,间接,间接,主要,间接,4.2 / 4.3 / 附录 C
F43,完整 RBAC（多角色）,规划中,间接,间接,间接,间接,1.4 / 附录 A6
F44,设备认证（节点接入 Token 已实现；设备级身份规划中）,部分实现,间接,间接,间接,间接,1.4 / 2.3
F45,集群化网络与节点调度增强,部分实现,间接,间接,间接,间接,1.4 / 5.2
F46,OPC-UA 协议接入,部分实现,主要,间接,间接,间接,1.1 / 2.2 / 附录 A4
F47,通道压缩（gzip 已实现；Protobuf 编码规划中）,部分实现,间接,间接,间接,间接,1.4
F48,镜像安全扫描（发布流程级已实现；运行时扫描规划中）,部分实现,间接,间接,间接,间接,1.4 / 附录 A6
